Ratings,Wins,Time_diff,Score
0.20509417594438661,3,290,2.2449538634146444
0.3532411861221951,2,283,0.33755260816963856
0.9211092080055898,7,84,4.282695241821687
0.7321369432288642,7,79,3.7548219644741514
0.8963781627970695,7,55,4.1268154079300094
0.11150695202933514,0,575,1.1641698899724517
0.24254377530931903,2,297,0.5501243365348505
0.630352958440267,4,110,3.193574000697805
0.6265009371131827,4,109,3.10976227037474
0.15416084305601396,0,641,0.31511835519443915
0.28562081127963057,2,307,1.287046910375957
0.7232646377689286,6,78,3.8495831692709044
0.35631509450180354,2,286,0.22621270010880085
0.6956581712494463,4,92,3.096135705984825
0.2824253118416825,2,280,0.880068133603775
0.04733236522945805,0,612,1.1194801876404843
0.35055592209821484,3,284,3.198960049185818
0.21877008770499506,2,272,0.9472729620451001
0.9264523322331011,6,69,3.97618553672436
0.6808590449469851,5,113,3.7572700745080048
